,fitness,fitness idx,mae,predictions,data_outputs
0,24.63096185280474,0,0.040599298,[0.554198   0.96404153],[0.57414566 0.88148148]
1,24.63096185280474,0,0.040599298,[0.67355025 0.9723667 ],[0.65985993 0.89550926]
2,24.63096185280474,0,0.040599298,[0.7929023  0.98069185],[0.77565786 0.90972222]
3,24.63096185280474,0,0.040599298,[0.91225445 0.989017  ],[0.94075031 0.92474537]
4,24.63096185280474,0,0.040599298,[1.0316063 0.9973421],[1.19511974 0.94009259]
5,24.63096185280474,0,0.040599298,[0.791691   0.98060733],[0.80260699 0.93125   ]
6,24.63096185280474,0,0.040599298,[0.91104317 0.9889325 ],[0.92242849 0.93993056]
7,24.63096185280474,0,0.040599298,[1.0303952  0.99725765],[1.0843047  0.94861111]
8,24.63096185280474,0,0.040599298,[1.1497474 1.0055828],[1.31508996 0.95601852]
9,24.63096185280474,0,0.040599298,[1.3625934 1.0204295],[1.67067635 0.96643519]
10,24.63096185280474,0,0.040599298,[1.029184  0.9971732],[1.03106831 0.96157407]
11,24.63096185280474,0,0.040599298,[1.1485361 1.0054983],[1.18499706 0.96643519]
12,24.63096185280474,0,0.040599298,[1.3601006 1.0202556],[1.39295155 0.97152778]
13,24.63096185280474,0,0.040599298,[1.6057154 1.0373878],[1.68942798 0.97666667]
14,24.63096185280474,0,0.040599298,[2.1481426 0.97274  ],[2.14623296 0.98194444]
15,24.63096185280474,0,0.040599298,[0.5457425 0.9634517],[0.56011381 0.91481481]
16,24.63096185280474,0,0.040599298,[0.6552554  0.97109056],[0.63720664 0.9287037 ]
17,24.63096185280474,0,0.040599298,[0.77460736 0.9794157 ],[0.738908   0.94282407]
18,24.63096185280474,0,0.040599298,[0.8939595 0.9877409],[0.87923797 0.95740741]
19,24.63096185280474,0,0.040599298,[1.0133116  0.99606603],[1.08536861 0.9724537 ]
20,24.63096185280474,0,0.040599298,[0.77339625 0.9793312 ],[0.7831755  0.96712963]
21,24.63096185280474,0,0.040599298,[0.89274836 0.98765635],[0.89097204 0.97569444]
22,24.63096185280474,0,0.040599298,[1.0121006 0.9959816],[1.03318633 0.98425926]
23,24.63096185280474,0,0.040599298,[1.1314523 1.0043067],[1.22939695 0.99305556]
24,24.63096185280474,0,0.040599298,[1.3249445 1.0178033],[1.51761704 1.00208333]
25,24.63096185280474,0,0.040599298,[1.0108893  0.99589705],[1.00625354 0.99884259]
26,24.63096185280474,0,0.040599298,[1.1302412 1.0042222],[1.14475477 1.00400463]
27,24.63096185280474,0,0.040599298,[1.3224521 1.0176295],[1.32745323 1.00918981]
28,24.63096185280474,0,0.040599298,[1.5680668 1.0347618],[1.57957226 1.01435185]
29,24.63096185280474,0,0.040599298,[1.9188933 1.0015442],[1.94988834 1.01956019]
30,24.63096185280474,0,0.040599298,[0.5407584  0.96310407],[0.54669808 0.94706019]
31,24.63096185280474,0,0.040599298,[0.6369607 0.9698144],[0.61597484 0.96064815]
32,24.63096185280474,0,0.040599298,[0.75631267 0.9781396 ],[0.70535477 0.97430556]
33,24.63096185280474,0,0.040599298,[0.8756649  0.98646474],[0.82507495 0.98865741]
34,24.63096185280474,0,0.040599298,[0.99501675 0.9947899 ],[0.99374646 1.00324074]
35,24.63096185280474,0,0.040599298,[0.7551014 0.9780551],[0.76461835 1.00185185]
36,24.63096185280474,0,0.040599298,[0.8744536 0.9863803],[0.86150776 1.01032407]
37,24.63096185280474,0,0.040599298,[0.9938055  0.99470544],[0.98651563 1.01888889]
38,24.63096185280474,0,0.040599298,[1.1131577 1.0030305],[1.15395735 1.02760648]
39,24.63096185280474,0,0.040599298,[1.2872958 1.0151772],[1.38986114 1.03634259]
40,24.63096185280474,0,0.040599298,[0.99259436 0.9946209 ],[0.98253699 1.03520833]
41,24.63096185280474,0,0.040599298,[1.1119466 1.0029461],[1.10704069 1.04027778]
42,24.63096185280474,0,0.040599298,[1.2848032 1.0150033],[1.26767648 1.04537037]
43,24.63096185280474,0,0.040599298,[1.5304182 1.0321357],[1.48284138 1.05046296]
44,24.63096185280474,0,0.040599298,[1.6925933 1.0299779],[1.78597746 1.05555556]
45,24.63096185280474,0,0.040599298,[0.53411305 0.9626405 ],[0.52970492 0.98828704]
46,24.63096185280474,0,0.040599298,[0.61256766 0.96811295],[0.58965653 1.00115741]
47,24.63096185280474,0,0.040599298,[0.73191965 0.9764381 ],[0.66490982 1.01458333]
48,24.63096185280474,0,0.040599298,[0.8512718  0.98476326],[0.76218165 1.02824074]
49,24.63096185280474,0,0.040599298,[0.97062385 0.9930884 ],[0.89279098 1.04236111]
50,24.63096185280474,0,0.040599298,[0.73070836 0.97635365],[0.74109629 1.04606481]
51,24.63096185280474,0,0.040599298,[0.8500606 0.9846788],[0.82497363 1.05439815]
52,24.63096185280474,0,0.040599298,[0.9694126 0.9930039],[0.93025829 1.06273148]
53,24.63096185280474,0,0.040599298,[1.0887647 1.0013291],[1.06634896 1.0712963 ]
54,24.63096185280474,0,0.040599298,[1.237097  1.0116757],[1.24908011 1.07986111]
55,24.63096185280474,0,0.040599298,[0.96820134 0.99291945],[0.95248928 1.08148148]
56,24.63096185280474,0,0.040599298,[1.0875533 1.0012445],[1.06029072 1.08634259]
57,24.63096185280474,0,0.040599298,[1.2346047 1.0115019],[1.19560675 1.09143519]
58,24.63096185280474,0,0.040599298,[1.4802194 1.0286342],[1.37051627 1.09675926]
59,24.63096185280474,0,0.040599298,[1.6236576 1.0386394],[1.60537087 1.10185185]
