,fitness,fitness idx,mae,predictions,data_outputs
0,18.359954609246994,0,0.054466356,[0.5884871 1.0668831],[0.57414566 0.88148148]
1,18.359954609246994,0,0.054466356,[0.64090425 1.0592307 ],[0.65985993 0.89550926]
2,18.359954609246994,0,0.054466356,[0.7703417 1.0403246],[0.77565786 0.90972222]
3,18.359954609246994,0,0.054466356,[0.92121726 1.0182868 ],[0.94075031 0.92474537]
4,18.359954609246994,0,0.054466356,[1.1694124 0.9820323],[1.19511974 0.94009259]
5,18.359954609246994,0,0.054466356,[0.7659908 1.040949 ],[0.80260699 0.93125   ]
6,18.359954609246994,0,0.054466356,[0.9040492 1.0207928],[0.92242849 0.93993056]
7,18.359954609246994,0,0.054466356,[1.0649536 0.9972913],[1.0843047  0.94861111]
8,18.359954609246994,0,0.054466356,[1.2648985 0.9680861],[1.31508996 0.95601852]
9,18.359954609246994,0,0.054466356,[1.5364587  0.92841864],[1.67067635 0.96643519]
10,18.359954609246994,0,0.054466356,[1.0610735  0.99783134],[1.03106831 0.96157407]
11,18.359954609246994,0,0.054466356,[1.1986406 0.9777597],[1.18499706 0.96643519]
12,18.359954609246994,0,0.054466356,[1.3613753  0.95399296],[1.39295155 0.97152778]
13,18.359954609246994,0,0.054466356,[1.5694351 0.9236026],[1.68942798 0.97666667]
14,18.359954609246994,0,0.054466356,[1.858963  0.8813071],[2.14623296 0.98194444]
15,18.359954609246994,0,0.054466356,[0.5796781 1.06817  ],[0.56011381 0.91481481]
16,18.359954609246994,0,0.054466356,[0.62202924 1.0619874 ],[0.63720664 0.9287037 ]
17,18.359954609246994,0,0.054466356,[0.72684056 1.046678  ],[0.738908   0.94282407]
18,18.359954609246994,0,0.054466356,[0.86956686 1.0258312 ],[0.87923797 0.95740741]
19,18.359954609246994,0,0.054466356,[1.1130717  0.99026203],[1.08536861 0.9724537 ]
20,18.359954609246994,0,0.054466356,[0.7274963 1.0465724],[0.7831755  0.96712963]
21,18.359954609246994,0,0.054466356,[0.86476046 1.0265318 ],[0.89097204 0.97569444]
22,18.359954609246994,0,0.054466356,[1.0242949 1.0032303],[1.03318633 0.98425926]
23,18.359954609246994,0,0.054466356,[1.2210412 0.9744923],[1.22939695 0.99305556]
24,18.359954609246994,0,0.054466356,[1.4819963 0.9363742],[1.51761704 1.00208333]
25,18.359954609246994,0,0.054466356,[1.0224864 1.0034693],[1.00625354 0.99884259]
26,18.359954609246994,0,0.054466356,[1.1591644  0.98352635],[1.14475477 1.00400463]
27,18.359954609246994,0,0.054466356,[1.3203096  0.95999146],[1.32745323 1.00918981]
28,18.359954609246994,0,0.054466356,[1.5244265 0.9301771],[1.57957226 1.01435185]
29,18.359954609246994,0,0.054466356,[1.8091807  0.88858044],[1.94988834 1.01956019]
30,18.359954609246994,0,0.054466356,[0.57251865 1.0692157 ],[0.54669808 0.94706019]
31,18.359954609246994,0,0.054466356,[0.60675377 1.064217  ],[0.61597484 0.96064815]
32,18.359954609246994,0,0.054466356,[0.6867059 1.0525374],[0.70535477 0.97430556]
33,18.359954609246994,0,0.054466356,[0.81815404 1.0333407 ],[0.82507495 0.98865741]
34,18.359954609246994,0,0.054466356,[1.0571184  0.99843514],[0.99374646 1.00324074]
35,18.359954609246994,0,0.054466356,[0.69270283 1.0516553 ],[0.76461835 1.00185185]
36,18.359954609246994,0,0.054466356,[0.82553786 1.032261  ],[0.86150776 1.01032407]
37,18.359954609246994,0,0.054466356,[0.98376375 1.0091506 ],[0.98651563 1.01888889]
38,18.359954609246994,0,0.054466356,[1.1774354 0.9808618],[1.15395735 1.02760648]
39,18.359954609246994,0,0.054466356,[1.426698  0.9444516],[1.38986114 1.03634259]
40,18.359954609246994,0,0.054466356,[0.9839397 1.0091013],[0.98253699 1.03520833]
41,18.359954609246994,0,0.054466356,[1.1197581 0.9892826],[1.10704069 1.04027778]
42,18.359954609246994,0,0.054466356,[1.2793856 0.9659693],[1.26767648 1.04537037]
43,18.359954609246994,0,0.054466356,[1.4798503 0.9366884],[1.48284138 1.05046296]
44,18.359954609246994,0,0.054466356,[1.7600057 0.8957646],[1.78597746 1.05555556]
45,18.359954609246994,0,0.054466356,[0.5650087 1.0703104],[0.52970492 0.98828704]
46,18.359954609246994,0,0.054466356,[0.5908014 1.0665361],[0.58965653 1.00115741]
47,18.359954609246994,0,0.054466356,[0.6452674 1.0585731],[0.66490982 1.01458333]
48,18.359954609246994,0,0.054466356,[0.75011677 1.0432774 ],[0.76218165 1.02824074]
49,18.359954609246994,0,0.054466356,[0.983192  1.0092336],[0.89279098 1.04236111]
50,18.359954609246994,0,0.054466356,[0.6562411 1.0569819],[0.74109629 1.04606481]
51,18.359954609246994,0,0.054466356,[0.77334076 1.0398855 ],[0.82497363 1.05439815]
52,18.359954609246994,0,0.054466356,[0.929915  1.0170163],[0.93025829 1.06273148]
53,18.359954609246994,0,0.054466356,[1.1172416  0.98965406],[1.06634896 1.0712963 ]
54,18.359954609246994,0,0.054466356,[1.3521979  0.95533395],[1.24908011 1.07986111]
55,18.359954609246994,0,0.054466356,[0.9326058 1.0166014],[0.95248928 1.08148148]
56,18.359954609246994,0,0.054466356,[1.0673215 0.9969423],[1.06029072 1.08634259]
57,18.359954609246994,0,0.054466356,[1.2250276 0.9739094],[1.19560675 1.09143519]
58,18.359954609246994,0,0.054466356,[1.421025  0.9452809],[1.37051627 1.09675926]
59,18.359954609246994,0,0.054466356,[1.6943488  0.90535593],[1.60537087 1.10185185]
